SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,address
MASJID SALLIM MATTAR,1,MATTAR ROAD,MASJID SALLIM MATTAR,1 MATTAR ROAD MASJID SALLIM MATTAR SINGAPORE 387725,387725,33332.0983359599,34219.9130531698,1.32574679283198,103.881230367298,1    Sallim Road
CANTONMENT PRIMARY SCHOOL,1,CANTONMENT CLOSE,CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256,088256,28739.4305021614,28660.7930697445,1.27547252623201,103.839962631748,1    Cantonment Close
KIDZ TREEHOUSE @ CANTONMENT,1,CANTONMENT CLOSE,KIDZ TREEHOUSE @ CANTONMENT,1 CANTONMENT CLOSE KIDZ TREEHOUSE @ CANTONMENT SINGAPORE 088256,088256,28748.1620587641,28659.9995642845,1.27546534984202,103.840041087946,1    Cantonment Close
CASUARINA PRIMARY SCHOOL,30,PASIR RIS STREET 41,CASUARINA PRIMARY SCHOOL,30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935,518935,41766.4977676729,39385.5958609674,1.37246063927999,103.957020286115,30   PASIR RIS ST 41
NASCANS @ CASUARINA PRIMARY,30,PASIR RIS STREET 41,NASCANS @ CASUARINA PRIMARY,30 PASIR RIS STREET 41 NASCANS @ CASUARINA PRIMARY SINGAPORE 518935,518935,41776.7314032353,39457.149041526,1.37310773436801,103.957112275692,30   PASIR RIS ST 41
CATHOLIC HIGH SCHOOL,9,BISHAN STREET 22,CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767,579767,29286.0617525242,37423.9135497604,1.3547230747166,103.844874676599,9    BISHAN STREET 22
COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9,BISHAN STREET 22,COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9 BISHAN STREET 22 COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY) SINGAPORE 579767,579767,29212.1656484166,37386.9490167908,1.35438878373608,103.844210670766,9    BISHAN STREET 22
CATHOLIC JUNIOR COLLEGE,129,WHITLEY ROAD,CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD CATHOLIC JUNIOR COLLEGE SINGAPORE 297822,297822,28190.3351049758,34088.1962013766,1.32455605783219,103.835028842353,129  WHITLEY ROAD
CEDAR GIRLS' SECONDARY SCHOOL,1,CEDAR AVENUE,CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692,349692,32519.9675315833,35105.7372267004,1.33375800216334,103.873933064886,1    CEDAR AVENUE
BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL),15,CEDAR AVENUE,BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL),15 CEDAR AVENUE BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL) SINGAPORE 349700,349700,32707.7091499828,35316.1469013225,1.33566084356265,103.87562006259,15   CEDAR AVENUE
CEDAR PRIMARY SCHOOL,15,CEDAR AVENUE,CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE CEDAR PRIMARY SCHOOL SINGAPORE 349700,349700,32707.8191135684,35308.1476785857,1.3355885014312,103.87562104944,15   CEDAR AVENUE
MOE KINDERGARTEN @ CEDAR,15,CEDAR AVENUE,MOE KINDERGARTEN @ CEDAR,15 CEDAR AVENUE MOE KINDERGARTEN @ CEDAR SINGAPORE 349700,349700,32697.4944924461,35278.0751957744,1.3353165382378,103.875528272142,15   CEDAR AVENUE
CHANGKAT CHANGI SECONDARY SCHOOL,23,SIMEI STREET 3,CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI STREET 3 CHANGKAT CHANGI SECONDARY SCHOOL SINGAPORE 529894,529894,41346.5926023414,35741.6438345015,1.33950630072876,103.953245525564,23   SIMEI ST 3
CHANGKAT PRIMARY SCHOOL,11,SIMEI STREET 3,CHANGKAT PRIMARY SCHOOL,11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896,529896,41216.8906296864,35821.8419446945,1.34023163951633,103.952080114035,11   SIMEI ST 3
LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL,11,SIMEI STREET 3,LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL,11 SIMEI STREET 3 LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL SINGAPORE 529896,529896,41238.4638929376,35793.2822557092,1.33997334692002,103.952273949753,11   SIMEI ST 3
CHIJ (KATONG) PRIMARY,17,MARTIA ROAD,CHIJ (KATONG) PRIMARY,17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821,424821,36656.9804726057,32090.1643723603,1.30648535277087,103.911105620496,17   MARTIA ROAD
NASCANS @ CHIJ KATONG,17,MARTIA ROAD,NASCANS @ CHIJ KATONG,17 MARTIA ROAD NASCANS @ CHIJ KATONG SINGAPORE 424821,424821,36656.9036827311,32108.3319426198,1.30664965374234,103.911104935556,17   MARTIA ROAD
CHIJ (KELLOCK),1,BUKIT TERESA ROAD,CHIJ (KELLOCK),1 BUKIT TERESA ROAD CHIJ (KELLOCK) SINGAPORE 099757,099757,27425.6197932558,28611.0557805933,1.275022722964,103.828157564896,1    Bukit Teresa Road
YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK),1,BUKIT TERESA ROAD,YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK),1 BUKIT TERESA ROAD YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK) SINGAPORE 099757,099757,27402.9654484307,28579.8478246406,1.27474048872023,103.827954007978,1    Bukit Teresa Road
CHIJ KATONG CONVENT,346,MARINE TERRACE,CHIJ KATONG CONVENT,346 MARINE TERRACE CHIJ KATONG CONVENT SINGAPORE 449150,449150,37329.0360122882,32085.467477452,1.30644268034894,103.917144350028,346  MARINE TERRACE
SAINT ANTHONY'S PRIMARY SCHOOL,30,BUKIT BATOK STREET 32,SAINT ANTHONY'S PRIMARY SCHOOL,30 BUKIT BATOK STREET 32 SAINT ANTHONY'S PRIMARY SCHOOL SINGAPORE 659401,659401,18644.3733009221,38463.0810494516,1.36411948475833,103.749251919049,30   Bukit Batok St 32
YMCA STUDENT CARE CENTRE @ ST ANTHONY'S,30,BUKIT BATOK STREET 32,YMCA STUDENT CARE CENTRE @ ST ANTHONY'S,30 BUKIT BATOK STREET 32 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S SINGAPORE 659401,659401,18644.3742089616,38467.7008820735,1.36416126483168,103.749251925758,30   Bukit Batok St 32
CHIJ OUR LADY OF GOOD COUNSEL,2C,BURGHLEY DRIVE,CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979,558979,31415.5340866428,37723.1973494291,1.35742952269615,103.864009397373,2C   Burghley Drive
YMCA STUDENT CARE CENTRE @ CHIJ OUR LADY OF GOOD COUNSEL,2C,BURGHLEY DRIVE,YMCA STUDENT CARE CENTRE @ CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE YMCA STUDENT CARE CENTRE @ CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979,558979,31431.409129547,37785.7194716875,1.35799494859112,103.864152052213,2C   Burghley Drive
CHIJ OUR LADY OF THE NATIVITY,1257,UPPER SERANGOON ROAD,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793,534793,35151.0338091562,39478.4768616967,1.37330297140128,103.897575728303,1257 UPPER SERANGOON ROAD
COMMIT LEARNING SCHOOLHOUSE @ CHIJ OUR LADY OF THE NATIVITY,1257,UPPER SERANGOON ROAD,COMMIT LEARNING SCHOOLHOUSE @ CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD COMMIT LEARNING SCHOOLHOUSE @ CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793,534793,35172.5371230971,39508.4571482297,1.37357409699145,103.897768958127,1257 UPPER SERANGOON ROAD
CHIJ OUR LADY QUEEN OF PEACE,4,CHESTNUT DRIVE,CHIJ OUR LADY QUEEN OF PEACE,4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287,679287,20665.4072236279,38737.7066427004,1.366603668561,103.767412204602,4    Chestnut Drive
SINGAPORE EDUSMART LEARNING HUB (CHIJ OLQP),4,CHESTNUT DRIVE,SINGAPORE EDUSMART LEARNING HUB (CHIJ OLQP),4 CHESTNUT DRIVE SINGAPORE EDUSMART LEARNING HUB (CHIJ OLQP) SINGAPORE 679287,679287,20670.4441793347,38726.0948755704,1.36649865720247,103.767457467964,4    Chestnut Drive
CHIJ PRIMARY (TOA PAYOH),628,LORONG 1 TOA PAYOH,CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,319765,28949.1537291808,34994.5345916729,1.33275264711587,103.841847263786,628  Lorong 1 Toa Payoh
YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH),628,LORONG 1 TOA PAYOH,YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,319765,28949.1543042725,34994.5335020255,1.33275263726147,103.841847268953,628  Lorong 1 Toa Payoh
CHIJ SECONDARY (TOA PAYOH),626,LORONG 1 TOA PAYOH,CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH CHIJ SECONDARY (TOA PAYOH) SINGAPORE 319764,319764,29107.6704288498,34962.2641689572,1.33246079948303,103.843271625083,626  LORONG 1 TOA PAYOH
CHIJ SAINT JOSEPH'S CONVENT,62,SENGKANG EAST WAY,CHIJ SAINT JOSEPH'S CONVENT,62 SENGKANG EAST WAY CHIJ SAINT JOSEPH'S CONVENT SINGAPORE 548595,548595,35695.0897989292,41518.518049065,1.39175222260369,103.902464991543,62   SENGKANG EAST WAY
CHIJ SAINT NICHOLAS GIRLS' SCHOOL,501,ANG MO KIO STREET 13,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405,569405,28104.0195931299,39497.6106162649,1.37347687878916,103.834253269436,501  ANG MO KIO STREET 13
CHIJ SAINT THERESA'S CONVENT,160,LOWER DELTA ROAD,CHIJ SAINT THERESA'S CONVENT,160 LOWER DELTA ROAD CHIJ SAINT THERESA'S CONVENT SINGAPORE 099138,099138,26789.3781491434,28647.4426490944,1.27535177510054,103.822440701642,160  LOWER DELTA ROAD
CHONGFU SCHOOL,170,YISHUN AVENUE 6,CHONGFU SCHOOL,170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959,768959,28666.6613053558,46675.9986570273,1.43839562897006,103.839309173817,170  YISHUN AVENUE 6
SHG STUDENT CARE (CHONGFU SCHOOL),170,YISHUN AVENUE 6,SHG STUDENT CARE (CHONGFU SCHOOL),170 YISHUN AVENUE 6 SHG STUDENT CARE (CHONGFU SCHOOL) SINGAPORE 768959,768959,28640.1243954552,46683.3712114282,1.43846230429529,103.839070714229,170  YISHUN AVENUE 6
BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1,TAMPINES STREET 21,BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1 TAMPINES STREET 21 BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL) SINGAPORE 529392,529392,41131.9416870372,36969.5707135443,1.35061130568554,103.951317297552,1    TAMPINES STREET 21
CHONGZHENG PRIMARY SCHOOL,1,TAMPINES STREET 21,CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392,529392,41141.094059418,36980.1959562805,1.35070739237744,103.951399541868,1    TAMPINES STREET 21
CHRIST CHURCH SECONDARY SCHOOL,20,WOODLANDS DRIVE 17,CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17 CHRIST CHURCH SECONDARY SCHOOL SINGAPORE 737924,737924,23563.3391703926,45368.1754093207,1.42656780901455,103.793451105242,20   WOODLANDS DRIVE 17
LIGHT OF CHRIST CHURCH WOODLANDS,20,WOODLANDS DRIVE 17,LIGHT OF CHRIST CHURCH WOODLANDS,20 WOODLANDS DRIVE 17 LIGHT OF CHRIST CHURCH WOODLANDS SINGAPORE 737924,737924,23511.7159437109,45365.0813252199,1.42653981910601,103.792987223691,20   WOODLANDS DRIVE 17
CHUA CHU KANG PRIMARY SCHOOL,20,CHOA CHU KANG AVENUE 2,CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905,689905,17818.7829598142,39971.2903354876,1.37775890093367,103.741832917421,20   CHOA CHU KANG AVENUE 2
YMCA SCC @ CHUA CHU KANG,20,CHOA CHU KANG AVENUE 2,YMCA SCC @ CHUA CHU KANG,20 CHOA CHU KANG AVENUE 2 YMCA SCC @ CHUA CHU KANG SINGAPORE 689905,689905,17756.1856216164,39954.6381621007,1.37760828302593,103.741270440945,20   CHOA CHU KANG AVENUE 2
3 TECK WHYE CRESCENT SINGAPORE 688845,3,TECK WHYE CRESCENT,NIL,3 TECK WHYE CRESCENT SINGAPORE 688845,688845,18936.729485549,40571.8260801956,1.38319029263484,103.751878290333,3    TECK WHYE CRESCENT
CHUNG CHENG HIGH SCHOOL (MAIN),50,GOODMAN ROAD,CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD CHUNG CHENG HIGH SCHOOL (MAIN) SINGAPORE 439012,439012,34492.1113962689,31935.9858617261,1.30509154753048,103.891653229373,50   GOODMAN ROAD
CHUNG CHENG HIGH SCHOOL (MAIN) ADMINISTRATION BUILDING AND ENTRANCE ARCH,50,GOODMAN ROAD,CHUNG CHENG HIGH SCHOOL (MAIN) ADMINISTRATION BUILDING AND ENTRANCE ARCH,50 GOODMAN ROAD CHUNG CHENG HIGH SCHOOL (MAIN) ADMINISTRATION BUILDING AND ENTRANCE ARCH SINGAPORE 439012,439012,34387.4480683208,31907.6790314764,1.30483557242719,103.890712775053,50   GOODMAN ROAD
CHUNG CHENG HIGH SCHOOL (YISHUN),11,YISHUN STREET 61,CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61 CHUNG CHENG HIGH SCHOOL (YISHUN) SINGAPORE 768547,768547,28453.17758404,44556.321072707,1.41922603586175,103.837390782849,11   YISHUN STREET 61
CLEMENTI PRIMARY SCHOOL,8,CLEMENTI AVENUE 3,CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903,129903,20190.2983410172,33038.6364921555,1.31506321827875,103.763144493687,8    CLEMENTI AVE 3
NASCANS CLEMENTI STUDENT CARE CENTRE,8,CLEMENTI AVENUE 3,NASCANS CLEMENTI STUDENT CARE CENTRE,8 CLEMENTI AVENUE 3 NASCANS CLEMENTI STUDENT CARE CENTRE SINGAPORE 129903,129903,20170.5088003157,33037.9840960354,1.31505731320501,103.762966674996,8    CLEMENTI AVE 3
CLEMENTI TOWN SECONDARY SCHOOL,10,CLEMENTI AVENUE 3,CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904,129904,20065.2210438633,33091.2638894655,1.31553912945073,103.762020598524,10   CLEMENTI AVE 3
COMMONWEALTH SECONDARY SCHOOL,698,WEST COAST ROAD,COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD COMMONWEALTH SECONDARY SCHOOL SINGAPORE 608784,608784,18241.9409345519,33496.5605151355,1.31920395934801,103.745637393049,698  WEST COAST ROAD
COMPASSVALE SECONDARY SCHOOL,51,COMPASSVALE CRESCENT,COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT COMPASSVALE SECONDARY SCHOOL SINGAPORE 545083,545083,35403.746108626,42003.7810229771,1.39614083952009,103.899847164494,51   COMPASSVALE CRESCENT
BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL),3,CHOA CHU KANG AVENUE 4,BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL),3 CHOA CHU KANG AVENUE 4 BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL) SINGAPORE 689814,689814,17231.3486815896,40248.4434567168,1.38026516111464,103.736554295636,3    CHOA CHU KANG AVE 4
CONCORD PRIMARY SCHOOL,3,CHOA CHU KANG AVENUE 4,CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814,689814,17194.7500582738,40220.0161901619,1.38000806197242,103.736225440727,3    CHOA CHU KANG AVE 4
ACE @ WORK ENRICHMENT PTE LTD (CORPORATION PRIMARY),31,JURONG WEST STREET 24,ACE @ WORK ENRICHMENT PTE LTD (CORPORATION PRIMARY),31 JURONG WEST STREET 24 ACE @ WORK ENRICHMENT PTE LTD (CORPORATION PRIMARY) SINGAPORE 648347,648347,14006.5242964895,37066.276891252,1.35148548772662,103.707578404944,31   JURONG WEST STREET 24
CORPORATION PRIMARY SCHOOL,31,JURONG WEST STREET 24,CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24 CORPORATION PRIMARY SCHOOL SINGAPORE 648347,648347,14008.2263862854,37012.3505131546,1.35099779872539,103.707593724342,31   JURONG WEST STREET 24
CRESCENT GIRLS' SCHOOL,357,TANGLIN ROAD,CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD CRESCENT GIRLS' SCHOOL SINGAPORE 247961,247961,26244.4775918219,30634.2205088157,1.29331947077104,103.817544461755,357  TANGLIN ROAD
CREST SECONDARY SCHOOL,561,JURONG EAST STREET 24,CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24 CREST SECONDARY SCHOOL SINGAPORE 609561,609561,17907.1336000822,36141.0674422178,1.3431198045076,103.742628105304,561  JURONG EAST STREET 24
BIG HEART STUDENT CARE @ DAMAI,52,BEDOK RESERVOIR CRESCENT,BIG HEART STUDENT CARE @ DAMAI,52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226,479226,37789.8996013105,35270.4133399837,1.33524602829747,103.921286435321,52   BEDOK RESERVOIR CRESCENT
DAMAI PRIMARY SCHOOL,52,BEDOK RESERVOIR CRESCENT,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226,479226,37788.0885467725,35294.1912929006,1.33546106800406,103.921270169613,52   BEDOK RESERVOIR CRESCENT
DAMAI SECONDARY SCHOOL,4800,BEDOK RESERVOIR ROAD,DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD DAMAI SECONDARY SCHOOL SINGAPORE 479229,479229,38435.9529452929,35456.4196343422,1.33692798510393,103.927091653438,4800 BEDOK RESERVOIR ROAD
DAZHONG PRIMARY SCHOOL,35,BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441,659441,18557.5702323942,37916.8722190689,1.3591797447277,103.74847210784,35   BUKIT BATOK STREET 31
MOE KINDERGARTEN @ DAZHONG,35,BUKIT BATOK STREET 31,MOE KINDERGARTEN @ DAZHONG,35 BUKIT BATOK STREET 31 MOE KINDERGARTEN @ DAZHONG SINGAPORE 659441,659441,18534.5662015537,37941.6096065342,1.35940345327924,103.748265393745,35   BUKIT BATOK STREET 31
PRO-TEACH SCHOOLCARE (DAZHONG),35,BUKIT BATOK STREET 31,PRO-TEACH SCHOOLCARE (DAZHONG),35 BUKIT BATOK STREET 31 PRO-TEACH SCHOOLCARE (DAZHONG) SINGAPORE 659441,659441,18518.634648324,37903.9176733773,1.35906257616677,103.748122250254,35   BUKIT BATOK STREET 31
DE LA SALLE SCHOOL,11,CHOA CHU KANG STREET 52,DE LA SALLE SCHOOL,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,689285,17971.195454672,41845.4133931287,1.3947078296399,103.743201812831,11   Choa Chu Kang St 52
YMCA STUDENT CARE CENTRE @ DE LA SALLE,11,CHOA CHU KANG STREET 52,YMCA STUDENT CARE CENTRE @ DE LA SALLE,11 CHOA CHU KANG STREET 52 YMCA STUDENT CARE CENTRE @ DE LA SALLE SINGAPORE 689285,689285,17962.4648363767,41854.9376379568,1.39479396035866,103.743123358084,11   Choa Chu Kang St 52
DEYI SECONDARY SCHOOL,1,ANG MO KIO STREET 42,DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277,569277,30139.7572483057,38670.5350554623,1.36599702567717,103.852545772422,1    ANG MO KIO STREET 42
DUNEARN SECONDARY SCHOOL,21,BUKIT BATOK WEST AVENUE 2,DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2 DUNEARN SECONDARY SCHOOL SINGAPORE 659204,659204,18140.1430463539,38403.3358936273,1.36357900792871,103.74472109107,21   BUKIT BATOK WEST AVENUE 2
DUNMAN HIGH SCHOOL,10,TANJONG RHU ROAD,DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895,436895,33522.593402571,31368.7836118564,1.29996216014962,103.88294155989,10   TANJONG RHU ROAD
DUNMAN SECONDARY SCHOOL,21,TAMPINES STREET 45,DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45 DUNMAN SECONDARY SCHOOL SINGAPORE 529093,529093,41676.8242046405,38079.9135282841,1.36065258337022,103.956213906966,21   TAMPINES STREET 45
EAST SPRING PRIMARY SCHOOL,31,TAMPINES STREET 33,EAST SPRING PRIMARY SCHOOL,31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258,529258,42284.8340225685,37198.8184850682,1.35268400746357,103.961676849165,31   TAMPINES ST 33
NASCANS @ EAST SPRING,31,TAMPINES STREET 33,NASCANS @ EAST SPRING,31 TAMPINES STREET 33 NASCANS @ EAST SPRING SINGAPORE 529258,529258,42292.2109052921,37208.3428207003,1.35277013841942,103.961743139539,31   TAMPINES ST 33
EAST SPRING SECONDARY SCHOOL,30,TAMPINES STREET 34,EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34 EAST SPRING SECONDARY SCHOOL SINGAPORE 529231,529231,42169.5015330398,37590.3682097681,1.35622508992581,103.960640700298,30   TAMPINES STREET 34
EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36294.0746121518,42440.6405269764,1.40009139510996,103.907847599114,41   EDGEFIELD PLAINS
WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36247.6589920688,42463.4656134974,1.40029783011552,103.907430523653,41   EDGEFIELD PLAINS
EDGEFIELD SECONDARY SCHOOL,36,PUNGGOL FIELD,EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814,828814,35719.8105087345,42496.0989190713,1.40059309981824,103.902687385465,36   PUNGGOL FIELD
AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL,11,PASIR RIS STREET 52,AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,40460.9792755861,39672.6204007976,1.37505696315817,103.945289416873,11   PASIR RIS STREET 52
ELIAS PARK PRIMARY SCHOOL,11,PASIR RIS STREET 52,ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,40443.0313903531,39612.4369040336,1.37451269377776,103.945128117139,11   PASIR RIS STREET 52
COMMIT LEARNING SCHOOLHOUSE @ ENDEAVOUR PRIMARY,10,ADMIRALTY LINK,COMMIT LEARNING SCHOOLHOUSE @ ENDEAVOUR PRIMARY,10 ADMIRALTY LINK COMMIT LEARNING SCHOOLHOUSE @ ENDEAVOUR PRIMARY SINGAPORE 757521,757521,26203.4465249702,48388.3767226581,1.45388170417263,103.817174701639,10   Admiralty Link
ENDEAVOUR PRIMARY SCHOOL,10,ADMIRALTY LINK,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521,757521,26232.5507349819,48405.7003912628,1.45403837499301,103.817436231731,10   Admiralty Link
NORTH LINK BUILDING,10,ADMIRALTY STREET,NORTH LINK BUILDING,10 ADMIRALTY STREET NORTH LINK BUILDING SINGAPORE 757695,757695,25677.8830927983,49327.1050034035,1.46237118146808,103.812451896813,10   Admiralty Link
EUNOIA JUNIOR COLLEGE,2,SIN MING PLACE,EUNOIA JUNIOR COLLEGE,2 SIN MING PLACE EUNOIA JUNIOR COLLEGE SINGAPORE 573838,573838,28886.6991347941,38243.7692278698,1.36213757183547,103.841286169122,2    Sin Ming Place
BIG HEART STUDENT CARE @ EVERGREEN,31,WOODLANDS CIRCLE,BIG HEART STUDENT CARE @ EVERGREEN,31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908,738908,23685.1394134862,47312.1421118006,1.44414835451585,103.794545295922,31   WOODLANDS CIRCLE
EVERGREEN PRIMARY SCHOOL,31,WOODLANDS CIRCLE,EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908,738908,23688.7552570887,47312.692020528,1.44415332824735,103.794577787757,31   WOODLANDS CIRCLE
EVERGREEN SECONDARY SCHOOL,11,WOODLANDS STREET 83,EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83 EVERGREEN SECONDARY SCHOOL SINGAPORE 738489,738489,23639.7815383626,47018.3404796105,1.44149131273737,103.794137756171,11   WOODLANDS STREET 83
COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,22673.2819890725,31484.0275675338,1.30100441916733,103.785455606827,100  DOVER ROAD
FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,22671.3515878748,31432.7656800412,1.30054082453424,103.785438270044,100  DOVER ROAD
